dataset	VIGEX_group_batchcorr	
TCGA/3L/AA1B/01	-0.464814955	iCold
TCGA/4N/A93T/01	-1.315041477	Cold
TCGA/5M/AAT4/01	-0.938250429	Cold
TCGA/5M/AATE/01	-1.202966291	Cold
TCGA/A6/2682/01	-0.197574644	iCold
TCGA/A6/2685/01	-0.083715627	iCold
TCGA/A6/4105/01	1.188995438	Hot
TCGA/A6/5657/01	0.703274289	iCold
TCGA/A6/5660/01	-0.31597521	iCold
TCGA/A6/5662/01	-0.795438834	Cold
TCGA/A6/5664/01	0.308788511	iCold
TCGA/A6/5667/01	-0.105775747	iCold
TCGA/A6/6137/01	0.390239174	iCold
TCGA/A6/6138/01	1.421626581	Hot
TCGA/A6/6140/01	0.139135969	iCold
TCGA/A6/6141/01	0.736350066	iCold
TCGA/A6/6142/01	-0.064639988	iCold
TCGA/A6/6648/01	0.359187689	iCold
TCGA/A6/6649/01	0.371037579	iCold
TCGA/A6/6651/01	0.643515057	iCold
TCGA/A6/6652/01	-0.883658584	Cold
TCGA/A6/6654/01	1.192245503	Hot
TCGA/A6/6782/01	0.508672268	iCold
TCGA/A6/A567/01	-1.069884651	Cold
TCGA/A6/A56B/01	-1.619209475	Cold
TCGA/A6/A5ZU/01	0.299512585	iCold
TCGA/AA/3489/01	0.902391328	Hot
TCGA/AA/3495/01	0.468674814	iCold
TCGA/AA/3506/01	0.40333746	iCold
TCGA/AA/3509/01	0.424820417	iCold
TCGA/AA/3511/01	-0.13674444	iCold
TCGA/AA/3655/01	0.369456709	iCold
TCGA/AA/3660/01	-0.155370578	iCold
TCGA/AA/3662/01	0.453507015	iCold
TCGA/AA/3675/01	-0.002200743	iCold
TCGA/AA/3685/01	1.254957066	Hot
TCGA/AA/3712/01	0.404958386	iCold
TCGA/AA/A01X/01	-0.963345479	Cold
TCGA/AA/A01Z/01	-1.262655063	Cold
TCGA/AA/A02K/01	-0.976026542	Cold
TCGA/AA/A02Y/01	0.778415181	Hot
TCGA/AD/6888/01	-0.428350204	iCold
TCGA/AD/6890/01	0.596257447	iCold
TCGA/AD/6899/01	0.948270042	Hot
TCGA/AD/6963/01	0.989933991	Hot
TCGA/AD/6965/01	-0.250833541	iCold
TCGA/AD/A5EK/01	-0.372346679	iCold
TCGA/AM/5820/01	-1.233001182	Cold
TCGA/AU/3779/01	0.339875587	iCold
TCGA/AY/5543/01	0.65401027	iCold
TCGA/AY/6386/01	0.1552559	iCold
TCGA/AY/A71X/01	-0.960663751	Cold
TCGA/AY/A8YK/01	-0.952402619	Cold
TCGA/AZ/4315/01	0.868668582	Hot
TCGA/AZ/4682/01	-0.353527737	iCold
TCGA/AZ/5403/01	-0.609998182	iCold
TCGA/AZ/5407/01	-0.251626899	iCold
TCGA/AZ/6599/01	-1.339482698	Cold
TCGA/AZ/6600/01	0.126118471	iCold
TCGA/AZ/6603/01	0.729469825	iCold
TCGA/AZ/6605/01	0.684655563	iCold
TCGA/AZ/6606/01	-0.43707414	iCold
TCGA/AZ/6607/01	0.8192056	Hot
TCGA/CA/5255/01	-0.426229759	iCold
TCGA/CA/5256/01	0.448405714	iCold
TCGA/CA/5796/01	-0.180155496	iCold
TCGA/CA/5797/01	0.494114603	iCold
TCGA/CA/6715/01	-1.329069485	Cold
TCGA/CA/6716/01	-1.279976347	Cold
TCGA/CA/6717/01	0.915675112	Hot
TCGA/CA/6718/01	1.641998605	Hot
TCGA/CK/4947/01	0.568673773	iCold
TCGA/CK/4950/01	0.758229423	Hot
TCGA/CK/4952/01	-0.499584628	iCold
TCGA/CK/5912/01	-0.518741539	iCold
TCGA/CK/5914/01	0.890794988	Hot
TCGA/CK/5915/01	-1.805648032	Cold
TCGA/CK/6748/01	0.142163672	iCold
TCGA/CK/6751/01	0.38489993	iCold
TCGA/CM/4744/01	0.979570809	Hot
TCGA/CM/4751/01	1.136393454	Hot
TCGA/CM/5344/01	-0.501710623	iCold
TCGA/CM/5348/01	0.237976756	iCold
TCGA/CM/5349/01	0.065632562	iCold
TCGA/CM/5860/01	0.489391913	iCold
TCGA/CM/5862/01	-0.687650518	iCold
TCGA/CM/5863/01	-0.067480372	iCold
TCGA/CM/5864/01	-0.016460523	iCold
TCGA/CM/5868/01	-0.410721041	iCold
TCGA/CM/6163/01	0.332697634	iCold
TCGA/CM/6164/01	0.633697441	iCold
TCGA/CM/6165/01	0.386432661	iCold
TCGA/CM/6166/01	-0.859455914	Cold
TCGA/CM/6167/01	0.240575572	iCold
TCGA/CM/6169/01	1.24019712	Hot
TCGA/CM/6170/01	0.155312581	iCold
TCGA/CM/6172/01	-0.715733417	iCold
TCGA/CM/6675/01	-0.03920011	iCold
TCGA/CM/6677/01	0.67610197	iCold
TCGA/CM/6678/01	-0.955370481	Cold
TCGA/CM/6679/01	0.295483247	iCold
TCGA/CM/6680/01	0.718816446	iCold
TCGA/D5/5537/01	-0.474855024	iCold
TCGA/D5/5538/01	0.716449978	iCold
TCGA/D5/5539/01	-0.091024471	iCold
TCGA/D5/5541/01	0.636735281	iCold
TCGA/D5/6531/01	0.904196713	Hot
TCGA/D5/6533/01	0.377175818	iCold
TCGA/D5/6534/01	1.096317907	Hot
TCGA/D5/6535/01	0.738196635	iCold
TCGA/D5/6536/01	-0.815668817	Cold
TCGA/D5/6537/01	0.365032941	iCold
TCGA/D5/6539/01	0.042407868	iCold
TCGA/D5/6898/01	0.581349542	iCold
TCGA/D5/6920/01	0.548887031	iCold
TCGA/D5/6922/01	0.413248449	iCold
TCGA/D5/6923/01	0.211069031	iCold
TCGA/D5/6924/01	0.820296353	Hot
TCGA/D5/6926/01	0.669159268	iCold
TCGA/D5/6931/01	0.458228776	iCold
TCGA/D5/6932/01	0.245025661	iCold
TCGA/D5/7000/01	0.53866146	iCold
TCGA/DM/A0X9/01	0.456877643	iCold
TCGA/DM/A1D0/01	-2.334846701	Cold
TCGA/DM/A1D7/01	-0.185532265	iCold
TCGA/DM/A1D8/01	0.066216017	iCold
TCGA/DM/A1D9/01	-0.194869142	iCold
TCGA/DM/A1DB/01	0.343178029	iCold
TCGA/DM/A1HA/01	-0.323891309	iCold
TCGA/DM/A280/01	-1.410545296	Cold
TCGA/DM/A282/01	-0.726817951	iCold
TCGA/DM/A285/01	-1.459877524	Cold
TCGA/DM/A288/01	-3.33093289	Cold
TCGA/DM/A28A/01	0.09649311	iCold
TCGA/DM/A28C/01	-2.176066027	Cold
TCGA/DM/A28E/01	-0.599020444	iCold
TCGA/DM/A28F/01	-0.085056993	iCold
TCGA/DM/A28G/01	-0.273793829	iCold
TCGA/DM/A28K/01	-0.627690671	iCold
TCGA/DM/A28M/01	-0.814993917	Cold
TCGA/F4/6459/01	-0.143042604	iCold
TCGA/F4/6460/01	0.178331658	iCold
TCGA/F4/6461/01	0.004790963	iCold
TCGA/F4/6463/01	0.53462489	iCold
TCGA/F4/6569/01	0.383905528	iCold
TCGA/F4/6704/01	0.38260533	iCold
TCGA/F4/6805/01	0.492055811	iCold
TCGA/F4/6806/01	-0.16891034	iCold
TCGA/F4/6807/01	1.030550856	Hot
TCGA/F4/6808/01	-0.550842101	iCold
TCGA/F4/6809/01	0.465785041	iCold
TCGA/F4/6854/01	0.604036483	iCold
TCGA/G4/6294/01	-0.410623674	iCold
TCGA/G4/6297/01	0.713430972	iCold
TCGA/G4/6299/01	0.939540294	Hot
TCGA/G4/6306/01	0.290351019	iCold
TCGA/G4/6307/01	-0.962859754	Cold
TCGA/G4/6310/01	-2.255931489	Cold
TCGA/G4/6311/01	-0.279900426	iCold
TCGA/G4/6314/01	-0.081340619	iCold
TCGA/G4/6315/01	-1.348758993	Cold
TCGA/G4/6625/01	1.309159353	Hot
TCGA/G4/6626/01	-0.05448531	iCold
TCGA/NH/A50T/01	-0.864157319	Cold
TCGA/NH/A50U/01	-1.271251433	Cold
TCGA/NH/A6GA/01	-0.362624836	iCold
TCGA/NH/A6GB/01	0.328872482	iCold
TCGA/NH/A6GC/01	-1.548916208	Cold
TCGA/NH/A8F8/01	-0.228065371	iCold
TCGA/QG/A5YV/01	0.269271499	iCold
TCGA/QL/A97D/01	0.846582529	Hot
TCGA/RU/A8FL/01	-1.690719257	Cold
TCGA/SS/A7HO/01	-1.061785135	Cold
TCGA/T9/A92H/01	-0.370414339	iCold
TCGA/AF/2687/01	0.989134456	Hot
TCGA/AF/2690/01	1.163643597	Hot
TCGA/AF/2693/01	0.345545293	iCold
TCGA/AF/4110/01	0.871501608	Hot
TCGA/AF/6136/01	-0.839239853	Cold
TCGA/AF/6655/01	0.034151272	iCold
TCGA/AF/6672/01	-0.584485571	iCold
TCGA/AF/A56K/01	0.564955808	iCold
TCGA/AF/A56L/01	0.065286939	iCold
TCGA/AF/A56N/01	-0.01977161	iCold
TCGA/AG/3591/01	-0.480077912	iCold
TCGA/AG/3725/01	0.524288178	iCold
TCGA/AG/3732/01	0.457230185	iCold
TCGA/AG/3742/01	0.285977676	iCold
TCGA/AG/4021/01	-0.2473088	iCold
TCGA/AG/4022/01	0.8705414	Hot
TCGA/AH/6544/01	-2.910777126	Cold
TCGA/AH/6547/01	0.880718602	Hot
TCGA/AH/6643/01	-0.282926255	iCold
TCGA/AH/6903/01	-0.400136091	iCold
TCGA/BM/6198/01	1.224070174	Hot
TCGA/CI/6619/01	0.738521285	iCold
TCGA/CI/6620/01	-0.796380112	Cold
TCGA/CI/6621/01	0.944977041	Hot
TCGA/CI/6622/01	-0.49977003	iCold
TCGA/CI/6623/01	0.077838363	iCold
TCGA/CI/6624/01	0.467589948	iCold
TCGA/CL/4957/01	-0.685216545	iCold
TCGA/CL/5917/01	-1.459086999	Cold
TCGA/CL/5918/01	0.155613469	iCold
TCGA/DC/4745/01	0.048517539	iCold
TCGA/DC/4749/01	-0.118026952	iCold
TCGA/DC/5337/01	0.715237968	iCold
TCGA/DC/5869/01	0.006047889	iCold
TCGA/DC/6155/01	-0.939896526	Cold
TCGA/DC/6156/01	0.68774554	iCold
TCGA/DC/6157/01	-0.08153483	iCold
TCGA/DC/6158/01	0.919936983	Hot
TCGA/DC/6160/01	0.301347914	iCold
TCGA/DC/6681/01	-0.049128727	iCold
TCGA/DC/6682/01	0.209168387	iCold
TCGA/DC/6683/01	-0.432483341	iCold
TCGA/DT/5265/01	-0.453234637	iCold
TCGA/DY/A0XA/01	-0.691683704	iCold
TCGA/DY/A1DC/01	0.127735167	iCold
TCGA/DY/A1DE/01	0.442178085	iCold
TCGA/DY/A1DG/01	-0.37167603	iCold
TCGA/DY/A1H8/01	-0.166365167	iCold
TCGA/EF/5830/01	0.357686401	iCold
TCGA/EF/5831/01	0.109140798	iCold
TCGA/EI/6506/01	0.634495041	iCold
TCGA/EI/6508/01	-0.226397363	iCold
TCGA/EI/6509/01	-1.712293947	Cold
TCGA/EI/6511/01	1.20175322	Hot
TCGA/EI/6512/01	0.288171776	iCold
TCGA/EI/6513/01	0.232517047	iCold
TCGA/EI/6514/01	-0.395741257	iCold
TCGA/EI/6881/01	-0.027308783	iCold
TCGA/EI/6884/01	0.279274073	iCold
TCGA/EI/6885/01	0.898430609	Hot
TCGA/EI/6917/01	1.264956856	Hot
TCGA/EI/7004/01	-0.134056986	iCold
TCGA/F5/6464/01	0.851296731	Hot
TCGA/F5/6465/01	0.874621901	Hot
TCGA/F5/6702/01	0.50303156	iCold
TCGA/F5/6812/01	0.660119987	iCold
TCGA/F5/6813/01	0.479761363	iCold
TCGA/F5/6814/01	0.95300371	Hot
TCGA/F5/6861/01	0.104048595	iCold
TCGA/G5/6235/01	-0.021889955	iCold
TCGA/G5/6572/01	-1.056881475	Cold
TCGA/G5/6641/01	-1.61625283	Cold
