dataset	VIGEX_group_batchcorr	
TCGA/2J/AAB6/01	-0.303246634	iCold
TCGA/2J/AAB8/01	-0.376317011	iCold
TCGA/2J/AAB9/01	0.024685813	iCold
TCGA/2J/AABA/01	-0.819479379	Cold
TCGA/2J/AABE/01	-1.290876405	Cold
TCGA/2J/AABF/01	0.891025673	Hot
TCGA/2J/AABK/01	0.127729855	iCold
TCGA/2J/AABO/01	-0.362443351	iCold
TCGA/2J/AABR/01	0.963110361	Hot
TCGA/2J/AABT/01	0.060463125	iCold
TCGA/2J/AABU/01	-0.415206195	iCold
TCGA/2J/AABV/01	-1.41927847	Cold
TCGA/2L/AAQA/01	-0.772022664	Cold
TCGA/2L/AAQE/01	-0.325879733	iCold
TCGA/2L/AAQI/01	-1.084895886	Cold
TCGA/2L/AAQJ/01	-0.088203541	iCold
TCGA/2L/AAQL/01	0.107639132	iCold
TCGA/3A/A9I5/01	-1.41644143	Cold
TCGA/3A/A9I7/01	0.462974401	iCold
TCGA/3A/A9I9/01	-0.332996005	iCold
TCGA/3A/A9IB/01	0.203305263	iCold
TCGA/3A/A9IC/01	-0.352905861	iCold
TCGA/3A/A9IH/01	-0.371598044	iCold
TCGA/3A/A9IU/01	-0.93339504	Cold
TCGA/3A/A9IX/01	0.322876018	iCold
TCGA/3A/A9IZ/01	-0.443073627	iCold
TCGA/3A/A9J0/01	-0.503264776	iCold
TCGA/3E/AAAY/01	0.722275099	iCold
TCGA/3E/AAAZ/01	-1.326064539	Cold
TCGA/F2/6880/01	-2.164153078	Cold
TCGA/F2/7273/01	0.604693872	iCold
TCGA/F2/7276/01	0.814571411	Hot
TCGA/F2/A44G/01	-0.238695262	iCold
TCGA/F2/A44H/01	-0.41644045	iCold
TCGA/F2/A7TX/01	1.646859354	Hot
TCGA/F2/A8YN/01	-1.405915996	Cold
TCGA/FB/A4P5/01	1.376935174	Hot
TCGA/FB/A4P6/01	-0.587652242	iCold
TCGA/FB/A545/01	-2.014370916	Cold
TCGA/FB/A5VM/01	0.843212028	Hot
TCGA/FB/A78T/01	-0.004195376	iCold
TCGA/FB/AAPP/01	-3.579278539	Cold
TCGA/FB/AAPQ/01	-1.773879649	Cold
TCGA/FB/AAPS/01	0.851867343	Hot
TCGA/FB/AAPU/01	-1.258979242	Cold
TCGA/FB/AAPY/01	0.737179971	iCold
TCGA/FB/AAPZ/01	0.370421882	iCold
TCGA/FB/AAQ0/01	-1.994860895	Cold
TCGA/FB/AAQ1/01	-0.632539478	iCold
TCGA/FB/AAQ2/01	-1.074127803	Cold
TCGA/FB/AAQ3/01	-0.087803596	iCold
TCGA/FB/AAQ6/01	-1.393181859	Cold
TCGA/H6/8124/01	-1.170821928	Cold
TCGA/HV/A5A3/01	-1.360643984	Cold
TCGA/HV/A5A4/01	-0.258510077	iCold
TCGA/HV/A5A5/01	0.428425788	iCold
TCGA/HV/A5A6/01	-0.802106851	Cold
TCGA/HV/A7OL/01	1.062525722	Hot
TCGA/HV/AA8V/01	-0.14495283	iCold
TCGA/HV/AA8X/01	-1.687911148	Cold
TCGA/HZ/7918/01	1.76686885	Hot
TCGA/HZ/7919/01	0.869527561	Hot
TCGA/HZ/7920/01	1.039008535	Hot
TCGA/HZ/7922/01	0.324762845	iCold
TCGA/HZ/7923/01	0.924706083	Hot
TCGA/HZ/7924/01	0.005034765	iCold
TCGA/HZ/7925/01	0.025129349	iCold
TCGA/HZ/7926/01	0.07502915	iCold
TCGA/HZ/8001/01	0.6474657	iCold
TCGA/HZ/8002/01	0.349661024	iCold
TCGA/HZ/8003/01	1.202011842	Hot
TCGA/HZ/8005/01	1.232365983	Hot
TCGA/HZ/8315/01	1.19041068	Hot
TCGA/HZ/8317/01	-0.603723927	iCold
TCGA/HZ/8636/01	0.542731627	iCold
TCGA/HZ/8637/01	2.237150187	Hot
TCGA/HZ/A49G/01	0.444984343	iCold
TCGA/HZ/A49H/01	0.934340504	Hot
TCGA/HZ/A49I/01	-0.09398524	iCold
TCGA/HZ/A4BH/01	1.164864946	Hot
TCGA/HZ/A77O/01	0.042093327	iCold
TCGA/HZ/A8P0/01	-1.186050237	Cold
TCGA/HZ/A8P1/01	-1.616593571	Cold
TCGA/IB/7644/01	-0.060833198	iCold
TCGA/IB/7645/01	1.101582024	Hot
TCGA/IB/7646/01	1.167284151	Hot
TCGA/IB/7647/01	0.515132698	iCold
TCGA/IB/7649/01	0.651257651	iCold
TCGA/IB/7651/01	1.563666966	Hot
TCGA/IB/7652/01	-0.370303115	iCold
TCGA/IB/7654/01	-0.301238592	iCold
TCGA/IB/7885/01	0.639135834	iCold
TCGA/IB/7886/01	0.954015943	Hot
TCGA/IB/7887/01	0.088356227	iCold
TCGA/IB/7888/01	0.489652797	iCold
TCGA/IB/7889/01	0.710378267	iCold
TCGA/IB/7890/01	-1.273407529	Cold
TCGA/IB/7891/01	1.141781147	Hot
TCGA/IB/7893/01	0.028825116	iCold
TCGA/IB/7897/01	1.142814884	Hot
